id,answer,explanation
249,brown,There is a brown sphere in front of the tiny purple cube and to the left of the big purple ball.
250,no,There are no big gray rubber blocks and there is a purple ball.
251,sphere,There is the small red sphere that has the same color as a big rubber cylinder.
252,no,There are no things that have the same size as a rubber cube.
253,no,There are no things that have the same size as a green metal sphere.
254,yes,There is a shiny cube which is behind the small metallic ball and there is a green cylinder.
255,1,There is a large cylinder.
256,cylinder,There is a large red matte cylinder which is on the left side of the large matte cube that is right of the brown ball.
257,no,There are no things which have the identical material as a big green block.
258,yes,There are no small red balls that are to the left of the green matte cylinder and there are three metal cylinders.
259,cube,The big purple cube has the same color as a tiny matte cube.
260,rubber,There is the yellow rubber cylinder that has the same shape as a tiny yellow cylinder.
261,2,There are two large cylinders.
262,no,The big rubber thing right of the large yellow ball is a cylinder and the shiny thing right of the big red metal sphere is a cube.
263,no,There are no things that have the same size as a metallic block.
264,metal,There is a big green shiny ball which has the identical color as a big matte cylinder.
265,2,There is a big cylinder that is in front of the big cyan metal cube and there is a gray block.
266,no,There are no shiny cubes which are in front of the large metal block that is right of the red metal cube.
267,no,The small gray thing in front of the big metal cylinder is a cube and the tiny metal thing is a sphere.
268,no,There are no things which have the identical material as a big ball.
269,yes,There is a yellow matte cylinder that has the same material as a large red cylinder.
270,red,There is a red metal cube that is to the left of the large rubber ball that is in front of the cylinder that is left of the large purple rubber sphere.
271,small,The small brown shiny sphere has the same color as a small matte cube.
272,no,There are no things which have the identical size as a blue cylinder.
273,no,There are no things that have the same shape as a large gray cylinder.
274,small,There is a small green block that is on the left side of the big metallic cylinder.
275,rubber,There is a green matte ball which has the identical color as a tiny sphere.
276,2,There are two matte spheres that have the same shape as a yellow sphere.
277,yes,The matte ball is green and the big metallic sphere in front of the gray matte block is green.
278,yes,There is a rubber cube that has the same material as a cyan cylinder.
279,1,There is a purple cylinder which has the identical color as a big metal cylinder.
280,yes,There is a small gray sphere which has the identical color as a cube.
281,no,No things have the same size as a purple shiny cylinder.
282,2,There are a small gray metallic cube and sphere which have the identical material as a cyan cylinder.
283,rubber,There is a matte cylinder that is in front of the tiny gray rubber cylinder that is left of the tiny green ball that is left of the red sphere.
284,yes,There are two metallic cylinders and a metallic cube which have the identical material as a small cyan block.
285,metal,The large green metallic cylinder has the same color as a large matte cylinder.
286,metal,There is a large metallic block which is to the right of the matte cube that is right of the matte cylinder that is behind the yellow matte cube.
287,2,There is a big cylinder which is in front of the tiny gray matte sphere and there is a sphere that is to the left of the gray matte sphere.
288,no,There are two red spheres and there is a small metallic cube.
289,2,There are two cubes that have the same shape as a big gray cube.
290,no,The small cube is brown and the cylinder behind the tiny purple sphere is red.
291,no,There are no things that have the same material as a big gray sphere.
292,cyan,There is a large cyan metallic block.
293,cube,There is a big purple cube that has the same color as a shiny cube.
294,yes,There is the tiny cyan rubber block that has the same material as a green cube.
295,yes,There are no red metal balls which are behind the tiny brown cube and there is a rubber cylinder that is to the left of the green shiny sphere.
296,yes,The matte cylinder left of a yellow ball is big and the big cyan cube is big.
297,metal,There is a yellow metal cylinder that has the same color as a big cube.
298,gray,There is a tiny gray cube that has the same shape as a red shiny cube.
299,no,There is a small brown matte sphere and there are no gray metallic things.
300,0,There are no tiny rubber cylinders which have the identical color as a tiny block.
301,no,There are no tiny gray matte balls.
302,small,There is a tiny cylinder behind the cyan cylinder and to the right of the large blue rubber cylinder.
303,large,There is a large rubber cube that is left of the yellow rubber sphere that is right of the large shiny sphere.
304,yes,There is a small cyan metallic sphere and there is a purple sphere.
305,no,There are no things which have the identical material as a big cylinder.
306,0,There are no cubes on the left side of the large yellow cube and behind the big cyan rubber cylinder.
307,no,There are no things that have the same size as a purple rubber cube.
308,yes,There are no metallic blocks that are left of the big red metal sphere and there are two tiny spheres.
309,yes,The rubber cylinder behind the big rubber cylinder is tiny and the cylinder right of the purple cylinder is small.
310,no,The small yellow block to the right of the small red cylinder is matte and the small blue cylinder is metal.
311,yes,There are two spheres that have the same shape as a big purple rubber sphere.
312,sphere,There is a sphere in front of the blue cylinder and to the left of the small gray rubber cube.
313,3,There are two small cylinders and a small cube that have the same size as a purple cube.
314,no,There are no things that have the same material as a purple cylinder.
315,yes,There is the small yellow ball that has the same size as a green block.
316,cylinder,There is a large red rubber cylinder that is behind the brown cube that is right of the brown cube that is left of the tiny metallic cube.
317,red,There is a big red sphere that has the same shape as a small purple sphere.
318,large,The big blue metal ball has the same shape as a big blue matte ball.
319,1,There is a large blue metallic cylinder which is to the left of the large blue metallic cube that is right of the small blue rubber cube.
320,sphere,There is a purple metal sphere that is behind the large purple metallic sphere that is in front of the big gray cylinder.
321,1,There is a cube to the right of the metal cylinder and in front of the small brown cylinder.
322,no,There is a cyan rubber cylinder that is right of the small cyan block and there is a red metal cube.
323,metal,There is a small yellow metallic cube that has the same color as a large rubber cylinder.
324,no,There are no things that have the same size as a green metallic cylinder.
325,no,There are no things which have the identical shape as a red cube.
326,0,There are no things to the left of the small yellow rubber block and in front of the large metal cube.
327,4,There are two rubber spheres and a rubber cube and there is a red cube which is on the right side of the large red sphere.
328,no,There are no blue metal spheres that are behind the green block.
329,small,There is a tiny blue ball.
330,red,The small red metal sphere has the same material as a big gray sphere.
331,no,There are no green things that are behind the brown block and there are no metallic blocks which are on the left side of the small purple cylinder.
332,yes,There are a large cyan metallic cube and sphere that have the same color as a matte cylinder.
333,no,There are no things which have the identical shape as a large cyan shiny cylinder.
334,3,There are two green metal spheres and there is a big brown sphere that is behind the matte ball.
335,cylinder,There is a cylinder left of the blue sphere and in front of the large gray metallic ball.
336,no,There are no things that have the same size as a brown metal sphere.
337,small,There is a small metal sphere which is in front of the cylinder that is right of the red ball.
338,large,There is a large ball which is in front of the big blue sphere.
339,yes,There is a cylinder that is left of the large yellow ball and there is a tiny green rubber cylinder that is right of the large cyan cube.
340,large,There is a large ball that is to the right of the big ball that is behind the shiny ball that is right of the large purple sphere.
341,no,There are no things which have the identical material as a large red sphere.
342,small,There is a small brown shiny ball which has the identical color as a rubber sphere.
343,metal,There is a metal cylinder in front of the small cyan matte sphere and behind the large purple shiny sphere.
344,large,There is a large blue cube that has the same color as a large matte cylinder.
345,no,There is a small cylinder that is behind the cyan cylinder and there is a big shiny cube that is right of the blue metal cylinder.
346,no,There are no things which have the identical size as a purple metal cylinder.
347,cube,There is the big rubber block which has the identical material as a brown sphere.
348,no,There is a large purple ball and there is a big red cylinder that is on the right side of the big red rubber sphere.
349,yes,There is a small yellow rubber cylinder and there is a tiny matte cylinder that is left of the tiny metal sphere.
350,2,There are two cylinders that have the same shape as a big cyan matte cylinder.
351,no,No things have the same size as a purple block.
352,rubber,There is a small green matte sphere.
353,rubber,There is a green matte sphere.
354,rubber,There is a matte cube that has the same shape as a big purple rubber cube.
355,no,No cyan metal cubes have the same size as a cyan cube.
356,4,"There are a large cyan metal cylinder, two large cyan cubes and a large cyan cylinder which have the identical size as a matte sphere."
357,metal,There is the tiny brown metallic block which has the identical color as a metal cylinder.
358,yes,There are four spheres that have the same shape as a brown matte cube.
359,small,There is the tiny cyan ball which has the identical shape as a red matte ball.
360,3,There are three rubber spheres that have the same shape as a small red rubber sphere.
361,no,There is a small green matte cylinder and there is a cyan metallic block which is behind the rubber cube.
362,metal,The cyan shiny ball has the same shape as a big red metallic ball.
363,no,There is a shiny cube and there is a small blue rubber sphere.
364,rubber,There is a large matte cylinder to the left of the small brown matte cube and behind the small green matte cylinder.
365,no,No things have the same shape as a large gray rubber ball.
366,no,There are no small blue rubber things that are right of the purple cube and there is a purple cube that is behind the small metallic cube.
367,no,There are no cyan things that are behind the blue block and there are no small yellow rubber blocks.
368,no,The tiny red object in front of the green matte cylinder is a cylinder and the small green metallic object is a block.
369,yes,The blue metal cylinder is big and the gray metallic ball is large.
370,no,The tiny blue thing is a sphere and the big cyan thing is a cube.
371,4,There are two green spheres and two green cubes that have the same color as a small block.
372,0,There are no gray rubber spheres.
373,1,There is a tiny cylinder.
374,no,No red shiny things have the same shape as a big red metallic block.
375,metal,There is a tiny gray metal cube that has the same color as a small ball.
376,yes,The tiny rubber block is blue and the tiny ball is blue.
377,small,There is the small blue block which has the identical shape as a yellow cylinder.
378,yes,There is a purple cube and there is a small purple matte cylinder.
379,yes,There is a tiny cylinder which is in front of the rubber cylinder and there is a tiny matte cylinder.
380,cube,There is a large yellow shiny cube that has the same material as a green sphere.
381,cube,There is a metallic block to the right of the large metallic cylinder and to the left of the tiny brown shiny cylinder.
382,large,The large gray matte cylinder has the same material as a small blue cylinder.
383,sphere,The yellow object is a ball.
384,no,There are no things that have the same color as a large ball.
385,yes,There is a large purple ball which has the identical shape as a brown ball.
386,cube,There is a brown cube that has the same color as a large cube.
387,metal,There is the tiny red metal ball which has the identical color as a small rubber block.
388,no,There are no things that have the same material as a gray cube.
389,small,There is a tiny block which is on the right side of the large purple metal ball.
390,1,There is a gray metallic cylinder that is behind the big red shiny sphere.
391,no,There are no things that have the same material as a yellow ball.
392,0,There are no large green cubes that are behind the metal sphere that is behind the large green cube.
393,rubber,There is a matte cylinder that is in front of the large cyan rubber ball that is left of the cylinder that is in front of the cyan rubber sphere.
394,no,There are no things that have the same material as a big cube.
395,cylinder,There is a large shiny cylinder that is behind the brown metallic cylinder that is behind the big matte cube that is in front of the brown metal cylinder.
396,cylinder,There is a tiny gray metallic cylinder which has the identical material as a tiny brown block.
397,yes,There is a tiny gray cylinder and there is a large gray block.
398,no,There are no small matte things which are behind the matte block and there is a red cube that is right of the purple metallic cylinder.
399,brown,There is the brown matte cube that has the same material as a green cylinder.
400,cyan,There is a large cyan metal cube which is on the left side of the big purple cylinder.
401,no,There are no small brown matte cylinders that are behind the tiny green ball and there are no things that are left of the brown rubber cylinder.
402,0,There are no things which have the identical color as a small metal ball.
403,0,There are no tiny things.
404,large,There is the large purple metal ball which has the identical material as a big green cube.
405,metal,There is the large metal sphere that has the same size as a green cylinder.
406,no,There are no things which have the identical size as a matte sphere.
407,2,There is a tiny cylinder and there is a shiny ball.
408,no,There are no green cubes which are behind the big gray rubber cube and there is a cyan block.
409,large,There is a large shiny sphere that is behind the cylinder that is behind the small metal cylinder that is behind the cyan metal cube.
410,yes,There is a cyan rubber cylinder which is behind the green matte cylinder and there is a cyan shiny cylinder that is behind the large purple metallic cylinder.
411,yes,There is a tiny purple matte block that is left of the metal cylinder that is right of the small matte block that is behind the large blue cylinder.
412,yes,There is a tiny gray cylinder which is to the left of the brown metal sphere and there is a large yellow rubber cylinder.
413,purple,There is a purple cylinder which is in front of the large red shiny cylinder.
414,3,There are a large gray rubber cube and cylinder and there is a large red metal cube.
415,sphere,The small brown rubber ball has the same color as a metallic cylinder.
416,rubber,There is a matte sphere right of the small gray rubber cube and in front of the small blue matte cylinder.
417,metal,There is a purple metallic cylinder which is to the right of the small brown matte cylinder.
418,large,There is a big gray metal sphere.
419,no,There are no small shiny things which are on the right side of the brown cube.
420,1,There is a small cyan metal block which is behind the blue rubber cylinder and there is a cylinder that is in front of the small blue matte cylinder.
421,rubber,There is a tiny rubber cube which is in front of the tiny rubber cube that is right of the large sphere.
422,sphere,There is the small brown metal ball which has the identical material as a big cylinder.
423,yes,There is a tiny yellow matte cylinder and there is a gray cylinder which is on the right side of the tiny yellow cylinder.
424,rubber,There is a large gray matte sphere which is behind the tiny green matte cylinder.
425,large,There is a large brown metallic cube that has the same color as a large matte sphere.
426,yes,There is a tiny gray matte cube that is left of the purple rubber sphere and there are no gray metallic spheres.
427,cube,There is a large purple metallic cube that has the same material as a big blue cylinder.
428,no,There is a purple matte sphere and there is a cylinder that is in front of the large purple matte ball.
429,cube,There is a blue rubber cube that has the same material as a cyan cube.
430,0,There are no small rubber cylinders to the right of the purple matte cylinder and behind the small cyan rubber cylinder.
431,2,There are two blue cubes which have the identical color as a big metal cube.
432,large,There is a big shiny cylinder that is left of the big green cylinder.
433,small,There is a tiny yellow matte ball which is to the right of the yellow ball that is behind the yellow rubber ball that is right of the big yellow ball.
434,no,There are no yellow metal blocks which are in front of the yellow shiny block and there are no big purple metallic things.
435,no,There are no big cyan shiny balls which are to the left of the big red sphere and there is a cyan metal sphere.
436,2,There is a matte cube and there is a purple cylinder which is in front of the tiny purple matte cube.
437,2,There are a small yellow metal sphere and cylinder which have the identical color as a shiny cylinder.
438,1,There is a green cylinder.
439,large,There is the large red cylinder that has the same color as a large metallic cube.
440,no,There are no things which have the identical color as a large metallic sphere.
441,no,The ball is purple and the cube is gray.
442,large,There is the large green metal ball which has the identical material as a brown cube.
443,sphere,The big gray rubber thing is a ball.
444,4,There are two small cylinders which are in front of the tiny cube and there are a big rubber cube and cylinder.
445,1,There is a small cylinder.
446,4,There are two metal spheres and two metal cubes.
447,2,There are two big blocks which are on the left side of the big purple cube.
448,yes,The metallic sphere is red and the big rubber block is red.
449,no,The shiny sphere is blue and the big ball behind the purple metal block is purple.
450,small,There is a small rubber block that is right of the large cube that is in front of the small shiny cylinder that is left of the tiny gray cylinder.
451,2,There are two cyan spheres that have the same color as a big metal cylinder.
452,metal,There is a brown metallic block which has the identical color as a matte ball.
453,sphere,There is the tiny brown sphere that has the same color as a big metallic cylinder.
454,2,There is a big sphere that is behind the purple sphere and there is a brown sphere.
455,no,No things have the same color as a big ball.
456,purple,There is the small purple metal block which has the identical material as a tiny purple cylinder.
457,3,There are two rubber cylinders and a rubber cube that have the same material as a large red ball.
458,red,There is a big red metallic cylinder that is to the left of the shiny cylinder that is behind the big rubber cylinder that is behind the green cylinder.
459,1,There is the tiny cyan cube that has the same color as a metal cylinder.
460,rubber,There is a rubber ball right of the metal sphere and behind the large rubber cube.
461,no,There are no small cyan cylinders which are on the right side of the cyan metal cylinder.
462,1,There is a block.
463,no,There are no things that have the same material as a small cyan cylinder.
464,large,The large blue ball has the same shape as a red rubber ball.
465,1,There is the cube that has the same shape as a large brown rubber cube.
466,no,There are no things which have the identical shape as a gray shiny cylinder.
467,rubber,The cylinder to the left of the big matte block is rubber.
468,0,There are no blue things.
469,small,There is a small purple cylinder which has the identical color as a large metal block.
470,metal,There is a brown metallic cylinder that has the same shape as a red metal cylinder.
471,no,There is a large rubber cylinder which is on the right side of the blue cube and there is a tiny brown cylinder that is to the left of the large blue cube.
472,yes,The small cube to the right of the yellow rubber cube is blue and the big metal cube is blue.
473,no,The shiny sphere is blue and the small rubber block is purple.
474,0,There are no cylinders.
475,no,There are no things which have the identical shape as a matte sphere.
476,yes,The tiny metallic block is gray and the big sphere behind the red shiny sphere is gray.
477,no,There are no things which have the identical size as a brown rubber cylinder.
478,large,The large gray metallic cylinder has the same material as a big purple block.
479,1,There is a tiny sphere that is to the left of the rubber block that is behind the big matte cube.
480,cylinder,The small gray cylinder has the same color as a small rubber cube.
481,no cubes,There are no cubes that are on the left side of the big brown ball and on the right side of the large gray cylinder.
482,no,The small thing in front of the large cube is a cylinder and the green rubber object is a sphere.
483,rubber,There is a brown matte cylinder which is in front of the brown cylinder that is behind the big ball.
484,1,There is a rubber cylinder.
485,metal,There is a large blue metallic sphere that has the same color as a big matte cube.
486,sphere,There is a small brown rubber sphere that has the same color as a tiny shiny cube.
487,yes,There are three spheres and a cylinder and there are no small green metallic cubes.
488,0,There are no metal cubes that have the same color as a small shiny block.
489,cube,There is a matte block to the left of the large matte cylinder and in front of the gray block.
490,yes,There is a brown sphere and there is a metal sphere that is right of the large brown rubber sphere.
491,no,The large rubber cube right of the small ball is yellow and the large matte sphere behind the big yellow matte cube is gray.
492,no,There are no things that have the same size as a gray rubber cube.
493,no,The small ball is yellow and the rubber cube behind the green shiny block is cyan.
494,yes,There is a large rubber sphere which is to the right of the large purple ball and there are no green rubber balls that are behind the blue metal cube.
495,yes,There is a small metal sphere and there is a small brown sphere.
496,yes,There is a tiny matte cylinder that is left of the tiny purple matte cylinder and there is a tiny matte cylinder that is in front of the green cylinder.
497,cylinder,There is a gray cylinder which has the identical color as a metal ball.
498,cylinder,The large object behind the purple cube is a cylinder.
499,1,There is a tiny brown rubber cylinder which has the identical shape as a red metal cylinder.
